No. ,Mes,Delegación ,Localidad,Esquema,Número,Nombre,2.1,2.2,2.3,2.4,2.5,2.6,2.7,2.8,2.9,2.1,2.11,2.12,3.1,3.2,5.1,5.2,5.3,5.4,5.5,5.6,5.7,5.8,6.1,6.2,6.3,6.4,6.5,7.1,7.2,7.3,7.4,8.1,8.2,9.1,9.2,9.3,9.4,10.1,10.2,10.3,10.4,10.5,10.6,10.7,10.8,10.9,11.1,11.2,11.3,11.4,11.5,11.6,11.7,11.8,11.9,11.1,11.11,11.12,11.13,11.14,11.15,11.16,12.1,12.2,12.3,12.4,12.5,12.6,12.7,12.8,14.1,14.2,Puntos máximos,Puntos alcanzados,%,No. de Padres,Horas 
12,oct-10,02BAJA CALIFORNIA     ,02002MEXICALI,U,311,"PRESTADORA DE SERVICIOS PIMSA, A.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,SI,1,1,1,71,71,100,6,12
13,oct-10,02BAJA CALIFORNIA     ,02002MEXICALI,U,754,CASA DE LOS PEQUEÑOS AMIGOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NO,,1,1,70,70,100,7,14
14,oct-10,02BAJA CALIFORNIA     ,26055SAN LUIS RÍO COLORADO                                                   ,U,669,CENTRO DE DESARROLLO INFANTIL VIRSAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,SI,1,1,1,71,71,100,6,12
15,oct-10,02BAJA CALIFORNIA     ,02004TIJUANA,U,122,TESOROS DEL SABER,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NO,,1,1,70,66,94.29,6,12
16,oct-10,02BAJA CALIFORNIA     ,02004TIJUANA,U,250,ESTANCIA INFANTIL DE BAJA CALIFORNIA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NO,,1,1,70,70,100,7,14
17,oct-10,02BAJA CALIFORNIA     ,02004TIJUANA,U,458,GUARDERÍA INFANTIL PICCOLINO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NO,,1,1,70,69,98.57,6,12
18,oct-10,02BAJA CALIFORNIA     ,02004TIJUANA,U,1195,GUARDERIA CALOR DE HOGAR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NO,,1,1,70,69,98.57,6,12
19,oct-10,03BAJA CALIFORNIA SUR      ,03003LA PAZ,U,363,"ESTANCIA INFANTIL EL REYNO DEL NIÑO, A.C.",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NO,,1,1,70,70,100,4,8
20,oct-10,04CAMPECHE                           ,04003CIUDAD DEL CARMEN,U,911,MUNDO DE FANTASIA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,SI,1,1,1,71,70,98.59,7,14
21,oct-10,07CHIAPAS                            ,07101TUXTLA GUTIÉRREZ,U,137,CENTRO DE DESARROLLO INFANTIL PEQUEÑOS GIGANTES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,SI,0,0,0,71,67,94.37,7,14
22,oct-10,08CHIHUAHUA                          ,08021DELICIAS,U,419,ESTANCIAS INFANTILES CANACINTRA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,NO,,1,1,70,70,100,7,14
